Bedrooms,Property Type,Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Two bed,All property types,"Lifford, Donegal",-1,490.57,-1,-1,-1,-1,346.77,355.34,383.51,407.44,423.16,417.44
Two bed,All property types,"Stranorlar, Donegal",-1,-1,-1,-1,-1,398.7,388.17,395.39,414.54,-1,-1,-1
Two bed,Detached house,Donegal,490.14,441.57,427.01,406.65,381.03,361.48,352.89,361.56,380.69,399.61,422.36,456.51
Two bed,Detached house,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Detached house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Detached house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Detached house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Detached house,"Letterkenny, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Detached house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Semi detached house,Donegal,504.97,455.16,436.6,438.81,400.34,403.21,402.97,400.29,413.67,442.62,472.24,479.89
Two bed,Semi detached house,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Semi detached house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Semi detached house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Semi detached house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Semi detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Semi detached house,"Letterkenny, Donegal",-1,461.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Semi detached house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Semi detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Terrace house,Donegal,492.54,490.54,453.9,425.03,407.98,381.31,369.88,381.67,425.39,454.59,462.03,459.49
Two bed,Terrace house,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Terrace house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Terrace house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Terrace house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Terrace house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Terrace house,"Letterkenny, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Terrace house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Terrace house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Apartment,Donegal,526.13,503.35,463.23,413.16,418.67,398.94,401.64,420.26,456.34,492.73,501.75,527.53
Two bed,Apartment,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Apartment,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Apartment,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Apartment,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Apartment,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Apartment,"Letterkenny, Donegal",502.38,505.8,462.11,399.38,423.72,400.9,404.51,427.13,468.13,518.28,538.88,569.78
Two bed,Apartment,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Apartment,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,393.55,397.22,413.43,-1,-1,-1
Two bed,Other flats,Donegal,-1,-1,-1,386.91,344.1,338.47,339.97,361.96,413.05,425.85,408.13,437.08
Two bed,Other flats,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Other flats,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Other flats,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Other flats,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Other flats,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Other flats,"Letterkenny, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,433.53,-1,-1,-1
Two bed,Other flats,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two bed,Other flats,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,All property types,Donegal,588.44,557.49,523.35,490.34,471.69,448.51,449.87,466.33,488.58,516.64,543.71,567.2
Three bed,All property types,Donegal Town,666.13,594.32,532.8,501.06,471.94,462.01,450.47,454.39,476.12,502.91,525.28,547.19
Three bed,All property types,"Ballybofey, Donegal",599.53,564.58,540.71,501.24,479.17,458.88,455.62,470.76,490.46,506.53,524.69,546.17
Three bed,All property types,"Buncrana, Donegal",589.33,560.65,528.15,488.83,444.43,433.86,439.26,464.93,481,486.53,502.06,529.96
Three bed,All property types,"Bundoran, Donegal",-1,-1,-1,483.6,450.63,430.6,431.07,433.55,450.46,-1,-1,-1
Three bed,All property types,"Carndonagh, Donegal",-1,483.62,478.01,445.98,411.66,387.16,387.64,398.46,402.74,410.65,438.22,459.77
Three bed,All property types,"Letterkenny, Donegal",598.98,572.23,541.23,503.65,489.66,459.47,467.8,486.56,525.54,565.6,597.26,623.41
Three bed,All property types,"Lifford, Donegal",-1,573.46,526.13,490.91,483.96,453.88,439.44,438.74,443.62,447.95,459.38,472.24
Three bed,All property types,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Detached house,Donegal,567.69,534.46,508.07,485.46,465.21,445.21,434.27,447.24,455.37,490.61,512.1,519.08
Three bed,Detached house,Donegal Town,-1,-1,-1,513.38,487.49,466.52,-1,450.55,438.88,470.38,517.1,-1
Three bed,Detached house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Detached house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Detached house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Detached house,"Letterkenny, Donegal",571.44,547,527.36,473.68,466,462.35,455.68,469.28,493.47,555.12,584.87,565.89
Three bed,Detached house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Semi detached house,Donegal,598.62,567.83,528.52,493.69,464.36,446.85,450.1,471.08,506.67,532.25,558.73,585.62
Three bed,Semi detached house,Donegal Town,-1,-1,-1,492.08,454.65,442.44,440.48,453.02,507.63,545.53,-1,-1
Three bed,Semi detached house,"Ballybofey, Donegal",604.68,577.38,544.57,498.31,472.09,454.79,459.62,466.41,490.63,517.21,529.36,545.32
Three bed,Semi detached house,"Buncrana, Donegal",-1,574.95,535.24,496.62,452.92,436.26,445.06,477.51,489.82,486.89,504.77,532.88
Three bed,Semi detached house,"Bundoran, Donegal",-1,-1,-1,-1,452.1,432.33,435.01,-1,-1,-1,-1,-1
Three bed,Semi detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,408.28,413.38,-1,-1
Three bed,Semi detached house,"Letterkenny, Donegal",609.26,577.31,541.46,505,468.88,455.56,465.36,489.13,536.38,569.23,597.01,627.97
Three bed,Semi detached house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Semi detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Terrace house,Donegal,572.28,535.61,516.5,472.27,442.11,442.01,452.91,452.11,458.12,480.4,513.76,542.38
Three bed,Terrace house,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Terrace house,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Terrace house,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Terrace house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Terrace house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Terrace house,"Letterkenny, Donegal",-1,565.26,534.4,491.94,452.57,442.04,460.14,479.31,508.87,541.11,574.56,602.1
Three bed,Terrace house,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Terrace house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Apartment,Donegal,-1,-1,-1,552.81,721.95,546.45,535.44,553.34,508.84,548.42,608.88,644.69
Three bed,Apartment,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Apartment,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Apartment,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Apartment,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Apartment,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Apartment,"Letterkenny, Donegal",-1,-1,-1,-1,778.78,-1,-1,514.5,486.2,586.17,-1,736.57
Three bed,Apartment,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Apartment,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Other flats,Donegal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Other flats,Donegal Town,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Other flats,"Ballybofey, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Other flats,"Buncrana, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Other flats,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Other flats,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Other flats,"Letterkenny, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Other flats,"Lifford, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Three bed,Other flats,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,All property types,Donegal,490.24,463.65,434.64,399.68,390.2,375.64,375.76,391.54,421.2,453.56,465.98,485.89
1 to 2 bed,All property types,Donegal Town,-1,-1,-1,443.79,-1,411.84,386.49,379.08,444.11,432.68,457.26,497.35
1 to 2 bed,All property types,"Ballybofey, Donegal",-1,464.3,466.95,-1,371.66,355.03,338.22,351.45,379.53,400.44,456.33,468.47
1 to 2 bed,All property types,"Buncrana, Donegal",-1,-1,-1,-1,368.86,358.99,353.45,363.8,389.36,400.87,420.99,439.39
1 to 2 bed,All property types,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1 to 2 bed,All property types,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,354.71,399.03,419.61
1 to 2 bed,All property types,"Letterkenny, Donegal",488.94,475.84,441.16,402.86,404.12,379.76,386.8,408.03,443.22,492.72,510.14,533.51
1 to 2 bed,All property types,"Lifford, Donegal",-1,463.75,421.24,-1,365.94,354.41,343.8,356.08,382.45,407.24,422.33,409.35
1 to 2 bed,All property types,"Stranorlar, Donegal",-1,-1,-1,-1,-1,393.07,377.87,381.45,399.78,462.65,395.99,-1
1 to 2 bed,Detached house,Donegal,474.42,439.43,418.61,400.96,378.2,363.63,353.83,362.17,386.13,400.98,419.39,451.65
